group_index,score,label
0,0.029960,1
1,0.026784,1
2,0.015559,1
3,0.024838,1
4,0.027540,1
5,0.034569,1
6,0.015145,1
7,0.012924,1
8,0.012860,1
9,0.010022,1
10,0.011013,1
11,0.010978,1
12,0.031402,1
13,0.033685,1
14,0.017161,1
15,0.030837,1
16,0.008246,1
17,0.008320,1
18,0.003032,1
19,0.013689,1
20,0.032963,1
21,0.017161,1
22,0.015399,1
23,0.030837,1
24,0.000817,1
25,0.004288,1
26,0.012530,1
27,0.033655,1
28,0.006710,1
29,0.027709,1
30,0.011324,1
31,0.031065,1
32,-0.000787,-1
33,0.010978,1
34,0.004882,1
35,0.010794,1
36,-0.002075,-1
37,0.029860,1
38,0.015843,1
39,0.012503,1
40,0.013853,1
41,-0.001907,-1
42,0.000758,1
43,0.028674,1
44,0.014563,1
45,0.018847,1
46,0.008824,1
47,0.000330,1
48,0.031981,1
49,0.018132,1
50,0.018666,1
51,0.013238,1
52,-0.000827,-1
53,0.001676,1
54,0.031347,1
55,0.014563,1
56,0.021235,1
57,0.008824,1
58,-0.003936,-1
59,0.031981,1
60,0.015343,1
61,0.018847,1
62,0.007053,1
63,0.001207,1
64,0.008611,1
65,0.027416,1
66,0.016001,1
67,0.013853,1
68,-0.001907,-1
69,0.000758,1
70,0.028674,1
71,0.014686,1
72,0.018847,1
73,0.007053,1
74,0.001207,1
75,0.008611,1
76,0.027416,1
77,0.014752,1
78,0.021235,1
79,0.008824,1
80,-0.003936,-1
81,0.031981,1
82,0.015343,1
83,0.018847,1
84,0.021576,1
85,0.035730,1
86,0.035730,1
87,0.035730,1
88,0.024128,1
89,0.018600,1
90,0.013955,1
91,0.018911,1
92,0.014498,1
93,0.025279,1
94,0.008112,1
95,0.019374,1
96,0.023373,1
97,0.020342,1
98,-0.002024,-1
99,0.016435,1
100,0.028967,1
101,0.009426,1
102,0.008994,1
103,0.023324,1
104,0.035163,1
105,0.009426,1
106,0.008213,1
107,0.023324,1
108,0.029840,1
109,0.001659,1
110,0.029153,1
111,0.032012,1
112,0.029238,1
113,0.020502,1
114,0.017053,1
115,0.000535,1
116,0.015443,1
117,0.016107,1
118,0.016434,1
119,0.013533,1
120,0.002440,1
121,0.001750,1
122,0.016435,1
123,0.028967,1
124,0.009426,1
125,-0.006542,-1
126,0.011629,1
127,0.011891,1
128,0.002440,1
129,0.004006,1
130,0.019374,1
131,0.023373,1
132,0.020342,1
133,0.001627,1
134,0.015826,1
135,0.023324,1
136,0.035163,1
137,0.009426,1
138,0.008994,1
139,0.023324,1
140,0.029840,1
141,-0.000607,-1
142,0.000882,1
143,0.025695,1
144,0.023324,1
145,0.029840,1
146,-0.000607,-1
147,0.002843,1
148,0.016899,1
149,0.022941,1
150,0.019374,1
151,0.023373,1
152,0.019395,1
153,-0.003038,-1
154,0.018585,1
155,0.028967,1
156,0.011624,1
157,0.007049,1
158,0.019374,1
159,0.023373,1
160,0.020342,1
161,-0.002318,-1
162,-0.018287,-1
163,-0.010143,-1
164,0.010130,1
165,0.019690,1
166,0.023118,1
167,0.023324,1
168,0.035163,1
169,0.007431,1
170,0.000399,1
171,0.023324,1
172,0.035163,1
173,0.009426,1
174,0.002062,1
175,0.023324,1
176,0.035163,1
177,0.009426,1
178,-0.009786,-1
179,-0.018137,-1
180,0.010301,1
181,0.014107,1
182,0.020125,1
183,0.016435,1
184,0.028967,1
185,0.009426,1
186,0.001420,1
187,0.030277,1
188,0.029699,1
189,0.018370,1
190,0.013853,1
191,-0.004897,-1
192,-0.004918,-1
193,0.028674,1
194,0.014563,1
195,0.018847,1
196,0.007842,1
197,-0.000678,-1
198,0.031981,1
199,0.018132,1
